# z	rho(z)
0.005000 0.000000
0.015000 0.000000
0.025000 0.000000
0.035000 0.000000
0.045000 0.000000
0.055000 0.000000
0.065000 0.000000
0.075000 0.000000
0.085000 0.000000
0.095000 0.000000
0.105000 0.000000
0.115000 0.000000
0.125000 0.000000
0.135000 0.000000
0.145000 0.000000
0.155000 0.000000
0.165000 0.000000
0.175000 0.000000
0.185000 0.000000
0.195000 0.000000
0.205000 0.000000
0.215000 0.000000
0.225000 0.000000
0.235000 0.000000
0.245000 0.000000
0.255000 0.000000
0.265000 0.000000
0.275000 0.000000
0.285000 0.000000
0.295000 0.000000
0.305000 0.000000
0.315000 0.000000
0.325000 0.000000
0.335000 0.000000
0.345000 0.000000
0.355000 0.000000
0.365000 0.000000
0.375000 0.000000
0.385000 0.000000
0.395000 0.000000
0.405000 0.000000
0.415000 0.000000
0.425000 0.000000
0.435000 0.000000
0.445000 0.000000
0.455000 0.000000
0.465000 0.000000
0.475000 0.000000
0.485000 0.000000
0.495000 0.000000
0.505000 11.277719
0.515000 10.577756
0.525000 9.873973
0.535000 8.937187
0.545000 8.059606
0.555000 7.589781
0.565000 6.745623
0.575000 6.261474
0.585000 5.356200
0.595000 4.584617
0.605000 3.793936
0.615000 3.268724
0.625000 2.519104
0.635000 1.988164
0.645000 1.400882
0.655000 1.060927
0.665000 0.737206
0.675000 0.474600
0.685000 0.280749
0.695000 0.227273
0.705000 0.154699
0.715000 0.103132
0.725000 0.069710
0.735000 0.049656
0.745000 0.027693
0.755000 0.009549
0.765000 0.016234
0.775000 0.014324
0.785000 0.013369
0.795000 0.001910
0.805000 0.005730
0.815000 0.001910
0.825000 0.001910
0.835000 0.001910
0.845000 0.001910
0.855000 0.000955
0.865000 0.000000
0.875000 0.000000
0.885000 0.001910
0.895000 0.000955
0.905000 0.000000
0.915000 0.000000
0.925000 0.000000
0.935000 0.000000
0.945000 0.000000
0.955000 0.000000
0.965000 0.000000
0.975000 0.000000
0.985000 0.000000
0.995000 0.000000
1.005000 0.000000
1.015000 0.000000
1.025000 0.000000
1.035000 0.000000
1.045000 0.000000
1.055000 0.000000
1.065000 0.000000
1.075000 0.000955
1.085000 0.000000
1.095000 0.000000
1.105000 0.000000
1.115000 0.001910
1.125000 0.000955
1.135000 0.000955
1.145000 0.001910
1.155000 0.000000
1.165000 0.001910
1.175000 0.002865
1.185000 0.004775
1.195000 0.001910
1.205000 0.009549
1.215000 0.014324
1.225000 0.014324
1.235000 0.018144
1.245000 0.023873
1.255000 0.020054
1.265000 0.045837
1.275000 0.061115
1.285000 0.092628
1.295000 0.138465
1.305000 0.223454
1.315000 0.338045
1.325000 0.518527
1.335000 0.717152
1.345000 1.092440
1.355000 1.489690
1.365000 1.879302
1.375000 2.591679
1.385000 3.203789
1.395000 3.884654
1.405000 4.552150
1.415000 5.309409
1.425000 5.993139
1.435000 6.833477
1.445000 7.510522
1.455000 8.338446
1.465000 8.937187
1.475000 9.749832
1.485000 10.374356
1.495000 11.499263
1.505000 0.000000
1.515000 0.000000
1.525000 0.000000
1.535000 0.000000
1.545000 0.000000
1.555000 0.000000
1.565000 0.000000
1.575000 0.000000
1.585000 0.000000
1.595000 0.000000
1.605000 0.000000
1.615000 0.000000
1.625000 0.000000
1.635000 0.000000
1.645000 0.000000
1.655000 0.000000
1.665000 0.000000
1.675000 0.000000
1.685000 0.000000
1.695000 0.000000
1.705000 0.000000
1.715000 0.000000
1.725000 0.000000
1.735000 0.000000
1.745000 0.000000
1.755000 0.000000
1.765000 0.000000
1.775000 0.000000
1.785000 0.000000
1.795000 0.000000
1.805000 0.000000
1.815000 0.000000
1.825000 0.000000
1.835000 0.000000
1.845000 0.000000
1.855000 0.000000
1.865000 0.000000
1.875000 0.000000
1.885000 0.000000
1.895000 0.000000
1.905000 0.000000
1.915000 0.000000
1.925000 0.000000
1.935000 0.000000
1.945000 0.000000
1.955000 0.000000
1.965000 0.000000
1.975000 0.000000
1.985000 0.000000
1.995000 0.000000
