# z	rho(z)
0.011250 0.000000
0.033750 0.000000
0.056250 0.000000
0.078750 0.000000
0.101250 0.000000
0.123750 0.000000
0.146250 0.000000
0.168750 0.000000
0.191250 0.000000
0.213750 0.000000
0.236250 0.000000
0.258750 0.000000
0.281250 0.000000
0.303750 0.000000
0.326250 0.000000
0.348750 0.000000
0.371250 0.000000
0.393750 0.000000
0.416250 0.000000
0.438750 0.000000
0.461250 0.000000
0.483750 0.000000
0.506250 2.125673
0.528750 2.458906
0.551250 2.208122
0.573750 1.956937
0.596250 1.728098
0.618750 1.567097
0.641250 1.403059
0.663750 1.273456
0.686250 1.140530
0.708750 1.032413
0.731250 0.944979
0.753750 0.853191
0.776250 0.781171
0.798750 0.721354
0.821250 0.674314
0.843750 0.629280
0.866250 0.573416
0.888750 0.539898
0.911250 0.510677
0.933750 0.483691
0.956250 0.452809
0.978750 0.436307
1.001250 0.419405
1.023750 0.401070
1.046250 0.372423
1.068750 0.379756
1.091250 0.366578
1.113750 0.372594
1.136250 0.360390
1.158750 0.357182
1.181250 0.351968
1.203750 0.378611
1.226250 0.391903
1.248750 0.393622
1.271250 0.403821
1.293750 0.421812
1.316250 0.441636
1.338750 0.456361
1.361250 0.494749
1.383750 0.522366
1.406250 0.568030
1.428750 0.606877
1.451250 0.648875
1.473750 0.701186
1.496250 0.743126
1.518750 0.780139
1.541250 0.814402
1.563750 0.827523
1.586250 0.832909
1.608750 0.845227
1.631250 0.828210
1.653750 0.826262
1.676250 0.811194
1.698750 0.817382
1.721250 0.804032
1.743750 0.777446
1.766250 0.765529
1.788750 0.731438
1.811250 0.721583
1.833750 0.721182
1.856250 0.692190
1.878750 0.697633
1.901250 0.658672
1.923750 0.642343
1.946250 0.637587
1.968750 0.619597
1.991250 0.594444
2.013750 0.577656
2.036250 0.562702
2.058750 0.567343
2.081250 0.556571
2.103750 0.527923
2.126250 0.531304
2.148750 0.517610
2.171250 0.514115
2.193750 0.500822
2.216250 0.502427
2.238750 0.498760
2.261250 0.506208
2.283750 0.508443
2.306250 0.507927
2.328750 0.516120
2.351250 0.518584
2.373750 0.527064
2.396250 0.535544
2.418750 0.537205
2.441250 0.549123
2.463750 0.575078
2.486250 0.585276
2.508750 0.591865
2.531250 0.616560
2.553750 0.632431
2.576250 0.641541
2.598750 0.656839
2.621250 0.675288
2.643750 0.694654
2.666250 0.717515
2.688750 0.719234
2.711250 0.747423
2.733750 0.763524
2.756250 0.765128
2.778750 0.801511
2.801250 0.802141
2.823750 0.815720
2.846250 0.826950
2.868750 0.828612
2.891250 0.838466
2.913750 0.832565
2.936250 0.800880
2.958750 0.814402
2.981250 0.787187
3.003750 0.752465
3.026250 0.688466
3.048750 0.649276
3.071250 0.604528
3.093750 0.569978
3.116250 0.522595
3.138750 0.492113
3.161250 0.462950
3.183750 0.451491
3.206250 0.417572
3.228750 0.404050
3.251250 0.388408
3.273750 0.377522
3.296250 0.380730
3.318750 0.361307
3.341250 0.367438
3.363750 0.364974
3.386250 0.366865
3.408750 0.369271
3.431250 0.393278
3.453750 0.396143
3.476250 0.407602
3.498750 0.413905
3.521250 0.422957
3.543750 0.452522
3.566250 0.482430
3.588750 0.512453
3.611250 0.541273
3.633750 0.579432
3.656250 0.614555
3.678750 0.662740
3.701250 0.722442
3.723750 0.793145
3.746250 0.853936
3.768750 0.939307
3.791250 1.038314
3.813750 1.122654
3.836250 1.255179
3.858750 1.392402
3.881250 1.560966
3.903750 1.735432
3.926250 1.939233
3.948750 2.192137
3.971250 2.458447
3.993750 2.125788
4.016250 0.000000
4.038750 0.000000
4.061250 0.000000
4.083750 0.000000
4.106250 0.000000
4.128750 0.000000
4.151250 0.000000
4.173750 0.000000
4.196250 0.000000
4.218750 0.000000
4.241250 0.000000
4.263750 0.000000
4.286250 0.000000
4.308750 0.000000
4.331250 0.000000
4.353750 0.000000
4.376250 0.000000
4.398750 0.000000
4.421250 0.000000
4.443750 0.000000
4.466250 0.000000
4.488750 0.000000
