# z	rho(z)
0.006250 0.000000
0.018750 0.000000
0.031250 0.000000
0.043750 0.000000
0.056250 0.000000
0.068750 0.000000
0.081250 0.000000
0.093750 0.000000
0.106250 0.000000
0.118750 0.000000
0.131250 0.000000
0.143750 0.000000
0.156250 0.000000
0.168750 0.000000
0.181250 0.000000
0.193750 0.000000
0.206250 0.000000
0.218750 0.000000
0.231250 0.000000
0.243750 0.000000
0.256250 0.000000
0.268750 0.000000
0.281250 0.000000
0.293750 0.000000
0.306250 0.000000
0.318750 0.000000
0.331250 0.000000
0.343750 0.000000
0.356250 0.000000
0.368750 0.000000
0.381250 0.000000
0.393750 0.000000
0.406250 0.000000
0.418750 0.000000
0.431250 0.000000
0.443750 0.000000
0.456250 0.000000
0.468750 0.000000
0.481250 0.000000
0.493750 0.000000
0.506250 4.503085
0.518750 4.018458
0.531250 3.590650
0.543750 3.242655
0.556250 2.940515
0.568750 2.634498
0.581250 2.448000
0.593750 2.200139
0.606250 2.092385
0.618750 1.882090
0.631250 1.734496
0.643750 1.597731
0.656250 1.495324
0.668750 1.403880
0.681250 1.329950
0.693750 1.220591
0.706250 1.156553
0.718750 1.117650
0.731250 1.088773
0.743750 0.979815
0.756250 0.961500
0.768750 0.920590
0.781250 0.909227
0.793750 0.865109
0.806250 0.873398
0.818750 0.826472
0.831250 0.818852
0.843750 0.798531
0.856250 0.787435
0.868750 0.795857
0.881250 0.752408
0.893750 0.755617
0.906250 0.737836
0.918750 0.747996
0.931250 0.726472
0.943750 0.727675
0.956250 0.703745
0.968750 0.693050
0.981250 0.694253
0.993750 0.651338
1.006250 0.631419
1.018750 0.591044
1.031250 0.587568
1.043750 0.571926
1.056250 0.522060
1.068750 0.509359
1.081250 0.474199
1.093750 0.444787
1.106250 0.426873
1.118750 0.403076
1.131250 0.397862
1.143750 0.368183
1.156250 0.352808
1.168750 0.347327
1.181250 0.342915
1.193750 0.325001
1.206250 0.325134
1.218750 0.320054
1.231250 0.298396
1.243750 0.313102
1.256250 0.294653
1.268750 0.293717
1.281250 0.316311
1.293750 0.317915
1.306250 0.309359
1.318750 0.314707
1.331250 0.351872
1.343750 0.349867
1.356250 0.362969
1.368750 0.378076
1.381250 0.422728
1.393750 0.416980
1.406250 0.442915
1.418750 0.479279
1.431250 0.499466
1.443750 0.512033
1.456250 0.544520
1.468750 0.559092
1.481250 0.611231
1.493750 0.647060
1.506250 0.664440
1.518750 0.684761
1.531250 0.693050
1.543750 0.732622
1.556250 0.715911
1.568750 0.715376
1.581250 0.753745
1.593750 0.747863
1.606250 0.735563
1.618750 0.759360
1.631250 0.764039
1.643750 0.771526
1.656250 0.791446
1.668750 0.809360
1.681250 0.802676
1.693750 0.862034
1.706250 0.889574
1.718750 0.915911
1.731250 0.912836
1.743750 0.966312
1.756250 0.998532
1.768750 1.050671
1.781250 1.113773
1.793750 1.172195
1.806250 1.230083
1.818750 1.317516
1.831250 1.390645
1.843750 1.481955
1.856250 1.603881
1.868750 1.706287
1.881250 1.883026
1.893750 2.046796
1.906250 2.187572
1.918750 2.402011
1.931250 2.674739
1.943750 2.938509
1.956250 3.298537
1.968750 3.588110
1.981250 4.031694
1.993750 4.482764
2.006250 0.000000
2.018750 0.000000
2.031250 0.000000
2.043750 0.000000
2.056250 0.000000
2.068750 0.000000
2.081250 0.000000
2.093750 0.000000
2.106250 0.000000
2.118750 0.000000
2.131250 0.000000
2.143750 0.000000
2.156250 0.000000
2.168750 0.000000
2.181250 0.000000
2.193750 0.000000
2.206250 0.000000
2.218750 0.000000
2.231250 0.000000
2.243750 0.000000
2.256250 0.000000
2.268750 0.000000
2.281250 0.000000
2.293750 0.000000
2.306250 0.000000
2.318750 0.000000
2.331250 0.000000
2.343750 0.000000
2.356250 0.000000
2.368750 0.000000
2.381250 0.000000
2.393750 0.000000
2.406250 0.000000
2.418750 0.000000
2.431250 0.000000
2.443750 0.000000
2.456250 0.000000
2.468750 0.000000
2.481250 0.000000
2.493750 0.000000
