# z	rho(z)
0.007500 0.000000
0.022500 0.000000
0.037500 0.000000
0.052500 0.000000
0.067500 0.000000
0.082500 0.000000
0.097500 0.000000
0.112500 0.000000
0.127500 0.000000
0.142500 0.000000
0.157500 0.000000
0.172500 0.000000
0.187500 0.000000
0.202500 0.000000
0.217500 0.000000
0.232500 0.000000
0.247500 0.000000
0.262500 0.000000
0.277500 0.000000
0.292500 0.000000
0.307500 0.000000
0.322500 0.000000
0.337500 0.000000
0.352500 0.000000
0.367500 0.000000
0.382500 0.000000
0.397500 0.000000
0.412500 0.000000
0.427500 0.000000
0.442500 0.000000
0.457500 0.000000
0.472500 0.000000
0.487500 0.000000
0.502500 3.319081
0.517500 4.563023
0.532500 4.088334
0.547500 3.603306
0.562500 3.179330
0.577500 2.814445
0.592500 2.514444
0.607500 2.200540
0.622500 1.972464
0.637500 1.747152
0.652500 1.549201
0.667500 1.387258
0.682500 1.248220
0.697500 1.106420
0.712500 0.955706
0.727500 0.852676
0.742500 0.778077
0.757500 0.698932
0.772500 0.620946
0.787500 0.551873
0.802500 0.519966
0.817500 0.459894
0.832500 0.416846
0.847500 0.398753
0.862500 0.369965
0.877500 0.343851
0.892500 0.306774
0.907500 0.286097
0.922500 0.278165
0.937500 0.261141
0.952500 0.245099
0.967500 0.237434
0.982500 0.238325
0.997500 0.230036
1.012500 0.233423
1.027500 0.226471
1.042500 0.224689
1.057500 0.228075
1.072500 0.238949
1.087500 0.236810
1.102500 0.240999
1.117500 0.255081
1.132500 0.253744
1.147500 0.283780
1.162500 0.286097
1.177500 0.297327
1.192500 0.331819
1.207500 0.359092
1.222500 0.388414
1.237500 0.414261
1.252500 0.460518
1.267500 0.492336
1.282500 0.544832
1.297500 0.589306
1.312500 0.658736
1.327500 0.733068
1.342500 0.820144
1.357500 0.897863
1.372500 1.015956
1.387500 1.111856
1.402500 1.207489
1.417500 1.358559
1.432500 1.465333
1.447500 1.568988
1.462500 1.637883
1.477500 1.689487
1.492500 1.717294
1.507500 1.729059
1.522500 1.707669
1.537500 1.636100
1.552500 1.564620
1.567500 1.475939
1.582500 1.371750
1.597500 1.238862
1.612500 1.113372
1.627500 1.008558
1.642500 0.916312
1.657500 0.826027
1.672500 0.733424
1.687500 0.677363
1.702500 0.598308
1.717500 0.542069
1.732500 0.492069
1.747500 0.457131
1.762500 0.416133
1.777500 0.367291
1.792500 0.350357
1.807500 0.327719
1.822500 0.305705
1.837500 0.284849
1.852500 0.271569
1.867500 0.259805
1.882500 0.240731
1.897500 0.236364
1.912500 0.231640
1.927500 0.233334
1.942500 0.224778
1.957500 0.232621
1.972500 0.226560
1.987500 0.231106
2.002500 0.235384
2.017500 0.236988
2.032500 0.238058
2.047500 0.260607
2.062500 0.267202
2.077500 0.275045
2.092500 0.291712
2.107500 0.306150
2.122500 0.345366
2.137500 0.364350
2.152500 0.398753
2.167500 0.422015
2.182500 0.472461
2.197500 0.510429
2.212500 0.561320
2.227500 0.627720
2.242500 0.695100
2.257500 0.776561
2.272500 0.861588
2.287500 0.976116
2.302500 1.094922
2.317500 1.232890
2.332500 1.376028
2.347500 1.533248
2.362500 1.730753
2.377500 1.993409
2.392500 2.240914
2.407500 2.498491
2.422500 2.824427
2.437500 3.166406
2.452500 3.579153
2.467500 4.053218
2.482500 4.562666
2.497500 3.339045
2.512500 0.000000
2.527500 0.000000
2.542500 0.000000
2.557500 0.000000
2.572500 0.000000
2.587500 0.000000
2.602500 0.000000
2.617500 0.000000
2.632500 0.000000
2.647500 0.000000
2.662500 0.000000
2.677500 0.000000
2.692500 0.000000
2.707500 0.000000
2.722500 0.000000
2.737500 0.000000
2.752500 0.000000
2.767500 0.000000
2.782500 0.000000
2.797500 0.000000
2.812500 0.000000
2.827500 0.000000
2.842500 0.000000
2.857500 0.000000
2.872500 0.000000
2.887500 0.000000
2.902500 0.000000
2.917500 0.000000
2.932500 0.000000
2.947500 0.000000
2.962500 0.000000
2.977500 0.000000
2.992500 0.000000
