# z	rho(z)
0.012500 0.000000
0.037500 0.000000
0.062500 0.000000
0.087500 0.000000
0.112500 0.000000
0.137500 0.000000
0.162500 0.000000
0.187500 0.000000
0.212500 0.000000
0.237500 0.000000
0.262500 0.000000
0.287500 0.000000
0.312500 0.000000
0.337500 0.000000
0.362500 0.000000
0.387500 0.000000
0.412500 0.000000
0.437500 0.000000
0.462500 0.000000
0.487500 0.000000
0.512500 5.703726
0.537500 4.482089
0.562500 3.589069
0.587500 2.869617
0.612500 2.297087
0.637500 1.877835
0.662500 1.519209
0.687500 1.248101
0.712500 1.027596
0.737500 0.859162
0.762500 0.720857
0.787500 0.613539
0.812500 0.528343
0.837500 0.458550
0.862500 0.405807
0.887500 0.370421
0.912500 0.321468
0.937500 0.296960
0.962500 0.280642
0.987500 0.262858
1.012500 0.257663
1.037500 0.248557
1.062500 0.245807
1.087500 0.244462
1.112500 0.258702
1.137500 0.274470
1.162500 0.285226
1.187500 0.307594
1.212500 0.350436
1.237500 0.394745
1.262500 0.447610
1.287500 0.535250
1.312500 0.622645
1.337500 0.748482
1.362500 0.888375
1.387500 1.030102
1.412500 1.221027
1.437500 1.376993
1.462500 1.496535
1.487500 1.582097
1.512500 1.628361
1.537500 1.624878
1.562500 1.529843
1.587500 1.449048
1.612500 1.334090
1.637500 1.232944
1.662500 1.121164
1.687500 1.013112
1.712500 0.930117
1.737500 0.828971
1.762500 0.747809
1.787500 0.682843
1.812500 0.619161
1.837500 0.578336
1.862500 0.525716
1.887500 0.502003
1.912500 0.467778
1.937500 0.450238
1.962500 0.434837
1.987500 0.428053
2.012500 0.422491
2.037500 0.425975
2.062500 0.439420
2.087500 0.451032
2.112500 0.451582
2.137500 0.493813
2.162500 0.526999
2.187500 0.584203
2.212500 0.615678
2.237500 0.676549
2.262500 0.750498
2.287500 0.819620
2.312500 0.891736
2.337500 0.963425
2.362500 1.042936
2.387500 1.111997
2.412500 1.207765
2.437500 1.234228
2.462500 1.293265
2.487500 1.318995
2.512500 1.312639
2.537500 1.279881
2.562500 1.254946
2.587500 1.190224
2.612500 1.140232
2.637500 1.059070
2.662500 0.987199
2.687500 0.911843
2.712500 0.825304
2.737500 0.746648
2.762500 0.680704
2.787500 0.632607
2.812500 0.569963
2.837500 0.547106
2.862500 0.501086
2.887500 0.472117
2.912500 0.466678
2.937500 0.433309
2.962500 0.429398
2.987500 0.423041
3.012500 0.426953
3.037500 0.444004
3.062500 0.445288
3.087500 0.466128
3.112500 0.491308
3.137500 0.515265
3.162500 0.561590
3.187500 0.610849
3.212500 0.663409
3.237500 0.734853
3.262500 0.796946
3.287500 0.911721
3.312500 1.011584
3.337500 1.111446
3.362500 1.226588
3.387500 1.348452
3.412500 1.443731
3.437500 1.552762
3.462500 1.601409
3.487500 1.638140
3.512500 1.573846
3.537500 1.510531
3.562500 1.376443
3.587500 1.228788
3.612500 1.068421
3.637500 0.890881
3.662500 0.744142
3.687500 0.626128
3.712500 0.517037
3.737500 0.455127
3.762500 0.410574
3.787500 0.346647
3.812500 0.307717
3.837500 0.283454
3.862500 0.264141
3.887500 0.252774
3.912500 0.241956
3.937500 0.244584
3.962500 0.244401
3.987500 0.242995
4.012500 0.263469
4.037500 0.283820
4.062500 0.302827
4.087500 0.315539
4.112500 0.350192
4.137500 0.403423
4.162500 0.458916
4.187500 0.522415
4.212500 0.617511
4.237500 0.721041
4.262500 0.845961
4.287500 1.025763
4.312500 1.272119
4.337500 1.511447
4.362500 1.874107
4.387500 2.332412
4.412500 2.871573
4.437500 3.555333
4.462500 4.503051
4.487500 5.659601
4.512500 0.000000
4.537500 0.000000
4.562500 0.000000
4.587500 0.000000
4.612500 0.000000
4.637500 0.000000
4.662500 0.000000
4.687500 0.000000
4.712500 0.000000
4.737500 0.000000
4.762500 0.000000
4.787500 0.000000
4.812500 0.000000
4.837500 0.000000
4.862500 0.000000
4.887500 0.000000
4.912500 0.000000
4.937500 0.000000
4.962500 0.000000
4.987500 0.000000
