# z	rho(z)
0.007500 0.000000
0.022500 0.000000
0.037500 0.000000
0.052500 0.000000
0.067500 0.000000
0.082500 0.000000
0.097500 0.000000
0.112500 0.000000
0.127500 0.000000
0.142500 0.000000
0.157500 0.000000
0.172500 0.000000
0.187500 0.000000
0.202500 0.000000
0.217500 0.000000
0.232500 0.000000
0.247500 0.000000
0.262500 0.000000
0.277500 0.000000
0.292500 0.000000
0.307500 0.000000
0.322500 0.000000
0.337500 0.000000
0.352500 0.000000
0.367500 0.000000
0.382500 0.000000
0.397500 0.000000
0.412500 0.000000
0.427500 0.000000
0.442500 0.000000
0.457500 0.000000
0.472500 0.000000
0.487500 0.000000
0.502500 5.835938
0.517500 7.991717
0.532500 7.098861
0.547500 6.321535
0.562500 5.621435
0.577500 4.901071
0.592500 4.280915
0.607500 3.690167
0.622500 3.148102
0.637500 2.654844
0.652500 2.215707
0.667500 1.824263
0.682500 1.457409
0.697500 1.172847
0.712500 0.904224
0.727500 0.689968
0.742500 0.516735
0.757500 0.365619
0.772500 0.262074
0.787500 0.180894
0.802500 0.133941
0.817500 0.092301
0.832500 0.068824
0.847500 0.045100
0.862500 0.030396
0.877500 0.026195
0.892500 0.018164
0.907500 0.014827
0.922500 0.011121
0.937500 0.007537
0.952500 0.006919
0.967500 0.006302
0.982500 0.004942
0.997500 0.005560
1.012500 0.004078
1.027500 0.003460
1.042500 0.002718
1.057500 0.004819
1.072500 0.002718
1.087500 0.004078
1.102500 0.005560
1.117500 0.004819
1.132500 0.005684
1.147500 0.010750
1.162500 0.009391
1.177500 0.015075
1.192500 0.017546
1.207500 0.024712
1.222500 0.030396
1.237500 0.045965
1.252500 0.063511
1.267500 0.105769
1.282500 0.152228
1.297500 0.222040
1.312500 0.351903
1.327500 0.504626
1.342500 0.752614
1.357500 1.061394
1.372500 1.468530
1.387500 1.903096
1.402500 2.390793
1.417500 2.821158
1.432500 3.276236
1.447500 3.635059
1.462500 3.910601
1.477500 4.101009
1.492500 4.170945
1.507500 4.196522
1.522500 4.057639
1.537500 3.878475
1.552500 3.599596
1.567500 3.254736
1.582500 2.796817
1.597500 2.307513
1.612500 1.881596
1.627500 1.423430
1.642500 1.037300
1.657500 0.718758
1.672500 0.493381
1.687500 0.315947
1.702500 0.209808
1.717500 0.134435
1.732500 0.098108
1.747500 0.069194
1.762500 0.046830
1.777500 0.032620
1.792500 0.027678
1.807500 0.017052
1.822500 0.016557
1.837500 0.010379
1.852500 0.009638
1.867500 0.006055
1.882500 0.004572
1.897500 0.004819
1.912500 0.001606
1.927500 0.003707
1.942500 0.001606
1.957500 0.003336
1.972500 0.002842
1.987500 0.002348
2.002500 0.004819
2.017500 0.003089
2.032500 0.004819
2.047500 0.005931
2.062500 0.006178
2.077500 0.010379
2.092500 0.015198
2.107500 0.016187
2.122500 0.026071
2.137500 0.034597
2.152500 0.048436
2.167500 0.071666
2.182500 0.095884
2.197500 0.142590
2.212500 0.204247
2.227500 0.284933
2.242500 0.388354
2.257500 0.536010
2.272500 0.715916
2.287500 0.906819
2.302500 1.164197
2.317500 1.530063
2.332500 1.872576
2.347500 2.272916
2.362500 2.697473
2.377500 3.177139
2.392500 3.709937
2.407500 4.277950
2.422500 4.870427
2.437500 5.626377
2.452500 6.315110
2.467500 7.153969
2.482500 7.978990
2.497500 5.818516
2.512500 0.000000
2.527500 0.000000
2.542500 0.000000
2.557500 0.000000
2.572500 0.000000
2.587500 0.000000
2.602500 0.000000
2.617500 0.000000
2.632500 0.000000
2.647500 0.000000
2.662500 0.000000
2.677500 0.000000
2.692500 0.000000
2.707500 0.000000
2.722500 0.000000
2.737500 0.000000
2.752500 0.000000
2.767500 0.000000
2.782500 0.000000
2.797500 0.000000
2.812500 0.000000
2.827500 0.000000
2.842500 0.000000
2.857500 0.000000
2.872500 0.000000
2.887500 0.000000
2.902500 0.000000
2.917500 0.000000
2.932500 0.000000
2.947500 0.000000
2.962500 0.000000
2.977500 0.000000
2.992500 0.000000
