# z	rho(z)
0.005000 0.000000
0.015000 0.000000
0.025000 0.000000
0.035000 0.000000
0.045000 0.000000
0.055000 0.000000
0.065000 0.000000
0.075000 0.000000
0.085000 0.000000
0.095000 0.000000
0.105000 0.000000
0.115000 0.000000
0.125000 0.000000
0.135000 0.000000
0.145000 0.000000
0.155000 0.000000
0.165000 0.000000
0.175000 0.000000
0.185000 0.000000
0.195000 0.000000
0.205000 0.000000
0.215000 0.000000
0.225000 0.000000
0.235000 0.000000
0.245000 0.000000
0.255000 0.000000
0.265000 0.000000
0.275000 0.000000
0.285000 0.000000
0.295000 0.000000
0.305000 0.000000
0.315000 0.000000
0.325000 0.000000
0.335000 0.000000
0.345000 0.000000
0.355000 0.000000
0.365000 0.000000
0.375000 0.000000
0.385000 0.000000
0.395000 0.000000
0.405000 0.000000
0.415000 0.000000
0.425000 0.000000
0.435000 0.000000
0.445000 0.000000
0.455000 0.000000
0.465000 0.000000
0.475000 0.000000
0.485000 0.000000
0.495000 0.000000
0.505000 5.179844
0.515000 4.866475
0.525000 4.548216
0.535000 4.257000
0.545000 3.936144
0.555000 3.684042
0.565000 3.412537
0.575000 3.179687
0.585000 2.970672
0.595000 2.671817
0.605000 2.465399
0.615000 2.246759
0.625000 2.041105
0.635000 1.848744
0.645000 1.716123
0.655000 1.563793
0.665000 1.470592
0.675000 1.323609
0.685000 1.191600
0.695000 1.120858
0.705000 1.018643
0.715000 0.951874
0.725000 0.869826
0.735000 0.813295
0.745000 0.729414
0.755000 0.680368
0.765000 0.638504
0.775000 0.590223
0.785000 0.524982
0.795000 0.479146
0.805000 0.440796
0.815000 0.401223
0.825000 0.370513
0.835000 0.351720
0.845000 0.325287
0.855000 0.313370
0.865000 0.293507
0.875000 0.283729
0.885000 0.265088
0.895000 0.259130
0.905000 0.239420
0.915000 0.236059
0.925000 0.231322
0.935000 0.220474
0.945000 0.205043
0.955000 0.205959
0.965000 0.199542
0.975000 0.185638
0.985000 0.201528
0.995000 0.181513
1.005000 0.185486
1.015000 0.184722
1.025000 0.172804
1.035000 0.179068
1.045000 0.186555
1.055000 0.182888
1.065000 0.178304
1.075000 0.170359
1.085000 0.177999
1.095000 0.171887
1.105000 0.179068
1.115000 0.174943
1.125000 0.185944
1.135000 0.177388
1.145000 0.187013
1.155000 0.188389
1.165000 0.197709
1.175000 0.201223
1.185000 0.206876
1.195000 0.203973
1.205000 0.212071
1.215000 0.210696
1.225000 0.214363
1.235000 0.239267
1.245000 0.247365
1.255000 0.240184
1.265000 0.274409
1.275000 0.285104
1.285000 0.285715
1.295000 0.307411
1.305000 0.344844
1.315000 0.350039
1.325000 0.361957
1.335000 0.389459
1.345000 0.410849
1.355000 0.441407
1.365000 0.462339
1.375000 0.502522
1.385000 0.543470
1.395000 0.556762
1.405000 0.612530
1.415000 0.650727
1.425000 0.687855
1.435000 0.736747
1.445000 0.764861
1.455000 0.816350
1.465000 0.829185
1.475000 0.800919
1.485000 0.766847
1.495000 0.733997
1.505000 31.268983
1.515000 0.703287
1.525000 0.660353
1.535000 0.645074
1.545000 0.643546
1.555000 0.617267
1.565000 0.610086
1.575000 0.606113
1.585000 0.600001
1.595000 0.608252
1.605000 0.590987
1.615000 0.585639
1.625000 0.578305
1.635000 0.552484
1.645000 0.546678
1.655000 0.536747
1.665000 0.510162
1.675000 0.485410
1.685000 0.466311
1.695000 0.451644
1.705000 0.439115
1.715000 0.430712
1.725000 0.406876
1.735000 0.413141
1.745000 0.394501
1.755000 0.392667
1.765000 0.386250
1.775000 0.392820
1.785000 0.371582
1.795000 0.378611
1.805000 0.379680
1.815000 0.374485
1.825000 0.363026
1.835000 0.359359
1.845000 0.358748
1.855000 0.356915
1.865000 0.344386
1.875000 0.332774
1.885000 0.341330
1.895000 0.327426
1.905000 0.306189
1.915000 0.309856
1.925000 0.299466
1.935000 0.314286
1.945000 0.305883
1.955000 0.300994
1.965000 0.297938
1.975000 0.293966
1.985000 0.299466
1.995000 0.286021
